	dt_iso	temp	temp_min	temp_max	pressure	humidity	wind_speed	wind_deg	rain_1h	rain_3h	snow_3h	clouds_all	excessive waste
0	2014-12-31 23:00:00+00:00	270.475	270.475	270.475	1001	77	1	62	0.0	0.0	0.0	0	0
1	2015-01-01 00:00:00+00:00	270.475	270.475	270.475	1001	77	1	62	0.0	0.0	0.0	0	0
2	2015-01-01 01:00:00+00:00	269.686	269.686	269.686	1002	78	0	23	0.0	0.0	0.0	0	0
3	2015-01-01 02:00:00+00:00	269.686	269.686	269.686	1002	78	0	23	0.0	0.0	0.0	0	0
4	2015-01-01 03:00:00+00:00	269.686	269.686	269.686	1002	78	0	23	0.0	0.0	0.0	0	0
5	2015-01-01 04:00:00+00:00	270.29200000000003	270.29200000000003	270.29200000000003	1004	71	2	321	0.0	0.0	0.0	0	0
6	2015-01-01 05:00:00+00:00	270.29200000000003	270.29200000000003	270.29200000000003	1004	71	2	321	0.0	0.0	0.0	0	0
7	2015-01-01 06:00:00+00:00	270.29200000000003	270.29200000000003	270.29200000000003	1004	71	2	321	0.0	0.0	0.0	0	0
8	2015-01-01 07:00:00+00:00	274.601	274.601	274.601	1005	71	1	307	0.0	0.0	0.0	0	0
9	2015-01-01 08:00:00+00:00	274.601	274.601	274.601	1005	71	1	307	0.0	0.0	0.0	0	0
10	2015-01-01 09:00:00+00:00	274.601	274.601	274.601	1005	71	1	307	0.0	0.0	0.0	0	0
11	2015-01-01 10:00:00+00:00	284.824	284.824	284.824	1006	55	1	255	0.0	0.0	0.0	0	0
12	2015-01-01 11:00:00+00:00	284.824	284.824	284.824	1006	55	1	255	0.0	0.0	0.0	0	0
13	2015-01-01 12:00:00+00:00	284.824	284.824	284.824	1006	55	1	255	0.0	0.0	0.0	0	0
14	2015-01-01 13:00:00+00:00	285.05065625	285.05065625	285.05065625	1015	52	1	248	0.0	0.0	0.0	0	0
15	2015-01-01 14:00:00+00:00	285.27734375	285.27734375	285.27734375	1025	50	1	242	0.0	0.0	0.0	0	0
16	2015-01-01 15:00:00+00:00	281.024	281.024	281.024	1021	67	1	230	0.0	0.0	0.0	0	0
17	2015-01-01 16:00:00+00:00	282.744	282.744	282.744	1035	58	1	226	0.0	0.0	0.0	0	0
18	2015-01-01 17:00:00+00:00	279.98400000000004	279.98400000000004	279.98400000000004	1035	68	1	216	0.0	0.0	0.0	0	0
19	2015-01-01 18:00:00+00:00	277.8761875	277.8761875	277.8761875	1017	69	1	235	0.0	0.0	0.0	0	0
20	2015-01-01 19:00:00+00:00	275.0075	275.0075	275.0075	1021	81	1	220	0.0	0.0	0.0	0	0
21	2015-01-01 20:00:00+00:00	272.791	272.791	272.791	1006	84	1	235	0.0	0.0	0.0	0	0
22	2015-01-01 21:00:00+00:00	272.791	272.791	272.791	1006	84	1	235	0.0	0.0	0.0	0	0
23	2015-01-01 22:00:00+00:00	271.22900000000004	271.22900000000004	271.22900000000004	1006	82	1	265	0.0	0.0	0.0	0	0
24	2015-01-01 23:00:00+00:00	271.22900000000004	271.22900000000004	271.22900000000004	1006	82	1	265	0.0	0.0	0.0	0	0
25	2015-01-02 00:00:00+00:00	271.22900000000004	271.22900000000004	271.22900000000004	1006	82	1	265	0.0	0.0	0.0	0	0
26	2015-01-02 01:00:00+00:00	270.664	270.664	270.664	1005	82	1	275	0.0	0.0	0.0	0	0
27	2015-01-02 02:00:00+00:00	270.664	270.664	270.664	1005	82	1	275	0.0	0.0	0.0	0	0
28	2015-01-02 03:00:00+00:00	270.664	270.664	270.664	1005	82	1	275	0.0	0.0	0.0	0	0
29	2015-01-02 04:00:00+00:00	270.277	270.277	270.277	1006	78	1	284	0.0	0.0	0.0	0	0
30	2015-01-02 05:00:00+00:00	270.277	270.277	270.277	1006	78	1	284	0.0	0.0	0.0	0	0
31	2015-01-02 06:00:00+00:00	270.277	270.277	270.277	1006	78	1	284	0.0	0.0	0.0	0	0
